"Epic","Feature","Story","FAILED","BROKEN","PASSED","SKIPPED","UNKNOWN"
"Product Store UI Tests","Contact Form","Invalid Email","1","0","0","0","0"
"Product Store UI Tests","Cart","Cart Functionality","1","0","5","0","0"
"Product Store UI Tests","Place Order","Place Order Funcitonality","4","2","2","0","0"
"","Place Order (Checkout)","Place order with valid details","0","0","2","0","0"
"","Cart","Add single product to cart","0","0","1","0","0"
"Product Store UI Tests","Product","","0","1","0","0","0"
"","Contact form","Contact form validation - invalid email","1","0","0","0","0"
"","Homepage","Product details navigation","1","0","2","0","0"
"","Homepage","Homepage loads and shows product list","0","0","1","0","0"
"","Cart","Add multiple items and remove one","0","0","1","0","0"
"Product Store UI Tests","Homepage","Navigation","1","0","0","0","0"
"","Contact form","Submit contact form with valid data","0","0","1","0","0"
"Product Store UI Tests","Regression Flow","Happy Path","0","0","1","0","0"
"","Place Order (Checkout)","Try to place order with invalid credit card","1","0","0","0","0"
"Product Store UI Tests","Smoke","Homepage Smoke Check","0","0","1","0","0"
"Product Store UI Tests","Cart","","0","0","1","0","0"
"Product Store UI Tests","Contact Form","Valid Submission","0","0","1","0","0"
"Product Store UI Tests","Homepage","Load Homepage","0","0","1","0","0"
